City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,2 Beds,3 Beds,Studio,1 Bed,"
													3 Beds
											"
5355 N Valentine Ave,Townhomes,Fresno,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,450'}, {'bedroom_type': '3 Beds', 'price': '$1,850'}]","5355 N Valentine Ave, Fresno, CA 93711",https://www.apartments.com/ascent-townhome-apartments-fresno-ca/fwwxmdt/,1½ BAs,"1,292 Sq Ft","1,292",12 Month Lease,Nov 25,"$1,450","$1,850",,,
1525 Hi Point St,Townhomes,Los Angeles,CA,"[{'bedroom_type': '2 Beds', 'price': '$3,395'}]","1525 Hi Point St, Los Angeles, CA 90035",https://www.apartments.com/hi-point-townhomes-los-angeles-ca/5xdhe1m/,2½ BAs,991 Sq Ft,991,,Available Now,"$3,395",,,,
1674 Hollenbeck Ave,Townhomes,Sunnyvale,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,595'}]","1674 Hollenbeck Ave, Sunnyvale, CA 94087",https://www.apartments.com/village-square-townhouses-sunnyvale-ca/83ll8n1/,1 BA,950 Sq Ft,950,,Available Now,"$2,595",,,,
153 Haas Ave,Townhomes,San Leandro,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,284'}]","153 Haas Ave, San Leandro, CA 94577",https://www.apartments.com/linvale-townhomes-san-leandro-ca/sgqyp37/,1 BA,875 Sq Ft,875,,Oct 31,"$2,284",,,,
825 Casanova Ave,Townhomes,Monterey,CA,"[{'bedroom_type': 'Studio', 'price': '$1,705'}, {'bedroom_type': '1 Bed', 'price': '$2,190'}, {'bedroom_type': '2 Beds', 'price': '$2,546'}, {'bedroom_type': '3 Beds', 'price': ''}]","825 Casanova Ave, Monterey, CA 93940",https://www.apartments.com/monterey-townhouse-monterey-ca/8rdpln3/,1 BA,390 Sq Ft,390,,Oct 5,"$2,546",,"$1,705","$2,190",
6737 De Soto Ave,Townhomes,Canoga Park,CA,"[{'bedroom_type': '\r\n\t\t\t\t\t\t\t\t\t\t\t\t\t3 Beds\r\n\t\t\t\t\t\t\t\t\t\t\t', 'price': ''}]","6737 De Soto Ave, Canoga Park, CA 91303",https://www.apartments.com/warner-center-townhomes-canoga-park-ca/1fd8055/,3 BAs,"1,550 Sq Ft","1,550",,Not Available,,,,,
2283 Fountain Way E,Townhomes,Costa Mesa,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,084'}]","2283 Fountain Way E, Costa Mesa, CA 92627",https://www.apartments.com/sea-breeze-rental-townhomes-costa-mesa-ca/kqrjmy8/,1½ BAs,816 Sq Ft,816,,Oct 24,"$2,084",,,,
1030 N Alvarado St,Townhomes,Los Angeles,CA,"[{'bedroom_type': 'Studio', 'price': '$2,300'}, {'bedroom_type': '1 Bed', 'price': '$3,200'}]","1030 N Alvarado St, Los Angeles, CA 90026",https://www.apartments.com/echo-lofts-true-luxury-live-work-townhouses-los-angeles-ca/dv3yjpk/,1 BA,727 Sq Ft,727,12 Month Lease,Available Now,,,"$2,300","$3,200",
2684 Lacy St,Townhomes,Los Angeles,CA,"[{'bedroom_type': 'Studio', 'price': '$2,300'}, {'bedroom_type': '1 Bed', 'price': '$2,250'}]","2684 Lacy St, Los Angeles, CA 90031",https://www.apartments.com/lacy-studio-townhouse-lofts-los-angeles-ca/qnc2g0y/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$2,300","$2,250",
2256 W Lincoln Ave,Townhomes,Anaheim,CA,"[{'bedroom_type': 'Studio', 'price': '$1,055'}]","2256 W Lincoln Ave, Anaheim, CA 92801",https://www.apartments.com/victoria-townhouses-anaheim-ca/zj4db0w/,1 BA,360 - 400 Sq Ft,360,12 Month Lease,Not Available,,,"$1,055",,
1134 Willow St,Townhomes,San Jose,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,550'}]","1134 Willow St, San Jose, CA 95125",https://www.apartments.com/deodar-townhomes-san-jose-ca/yekp8ev/,1½ BAs,980 Sq Ft,980,,Available Now,"$2,550",,,,
5103 Mozart Dr,Townhomes,Richmond,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,495'}]","5103 Mozart Dr, Richmond, CA 94803",https://www.apartments.com/westbridge-townhomes-richmond-ca/td8p2vb/,2½ BAs,"1,174 Sq Ft","1,174",,Available Now,"$2,495",,,,
14452 Goldenwest St,Townhomes,Westminster,CA,"[{'bedroom_type': '2 Beds', 'price': '$2,099'}]","14452 Goldenwest St, Westminster, CA 92683",https://www.apartments.com/villa-pacific-townhomes-westminster-ca/m4x2jml/,1½ BAs,"1,300 Sq Ft","1,300",1 - 12 Month Lease,Available Now,"$2,099",,,,
4249 Parker Ave,Townhomes,Bakersfield,CA,"[{'bedroom_type': '2 Beds', 'price': '$905'}]","4249 Parker Ave, Bakersfield, CA 93309",https://www.apartments.com/parker-avenue-townhouse-apartments-bakersfield-ca/fw35b6r/,1 BA,800 Sq Ft,800,,Not Available,$905,,,,
2070 Poplar Rd,Townhomes,Oceanside,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,725'}]","2070 Poplar Rd, Oceanside, CA 92058",https://www.apartments.com/ocean-breeze-oceanside-ca/dmnn0gj/,2½ BAs,"1,000 Sq Ft","1,000",,Available Now,"$1,725",,,,
632 Pacific Ave,Townhomes,Fairfield,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,700'}]","632 Pacific Ave, Fairfield, CA 94533",https://www.apartments.com/pacific-heights-townhouse-apartments-fairfield-ca/xryvesn/,2½ BAs,"1,100 Sq Ft","1,100",,Not Available,"$1,700",,,,
13433 Camilla St,Townhomes,Whittier,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,795'}]","13433 Camilla St, Whittier, CA 90601",https://www.apartments.com/townhouse-apartments-whittier-ca/5ngn1vm/,1½ BAs,950 Sq Ft,950,12 Month Lease,Oct 19,"$1,795",,,,
1624 Pueblo Ave,Townhomes,Napa,CA,"[{'bedroom_type': '1 Bed', 'price': '$1,725'}, {'bedroom_type': '2 Beds', 'price': '$2,050'}]","1624 Pueblo Ave, Napa, CA 94558",https://www.apartments.com/vineyard-townhomes-napa-ca/h813s82/,1 BA,690 Sq Ft,690,,Available Soon,"$2,050",,,"$1,725",
5112 Fairfax Rd,Townhomes,Bakersfield,CA,"[{'bedroom_type': '2 Beds', 'price': '$990'}, {'bedroom_type': '3 Beds', 'price': '$1,375'}]","5112 Fairfax Rd, Bakersfield, CA 93306",https://www.apartments.com/highland-oaks-apartments-arcadia-townhomes-bakersfield-ca/vqpxhqg/,1 BA,"965 - 1,090 Sq Ft",965,,Available Soon,$990,"$1,375",,,
1001 18th St,Townhomes,Bakersfield,CA,"[{'bedroom_type': '2 Beds', 'price': '$1,630'}]","1001 18th St, Bakersfield, CA 93301",https://www.apartments.com/17th-place-townhomes-bakersfield-ca/4re41zh/,1½ BAs,"1,080 Sq Ft","1,080",6 - 24 Month Lease,Available Soon,"$1,630",,,,
